,id,gloss,stem,actual_phonology,model_phonology,type,language,num_morphemes,num_tokens,utterance_order,corpus_name,part_of_speech,speaker_code,speaker_name,speaker_role,target_child_name,target_child_age,target_child_sex,media_start,media_end,media_unit,collection_name,collection_id,corpus_id,speaker_id,target_child_id,transcript_id
1619,17152971,other lizard,,ʌzɹ̘ j͡ʒɪɹd,ʌðəɹ lɪzəɹd,declarative,eng,-2147483648,2,18,Inkelas,,CHI,E,Target_Child,E,26.197663196369536,male,,,,Eng-NA,21,332,23438,23438,42400
1620,17152972,that must be Daddy,,dæt mʌs bi dædi,ðæt mʌst biː dædiː,imperative_emphatic,eng,-2147483648,4,15,Inkelas,,CHI,E,Target_Child,E,26.263372964537258,male,,,,Eng-NA,21,332,23438,23438,42402
1621,17152973,can you make room for me,,kæn ju meɪk wuːm foə mi,kæn juː meɪk ɹuːm fɔɹ miː,question,eng,-2147483648,6,6,Inkelas,,CHI,E,Target_Child,E,27.526232571510707,male,,,,Eng-NA,21,332,23438,23438,42414
1622,17152982,I want to do it too,,ɑɪ wɑnˀ tu duʷ ɪˀt tu,aɪ wɑnt tuː duː ɪt tuː,declarative,eng,-2147483648,6,13,Inkelas,,CHI,E,Target_Child,E,26.657631573543604,male,,,,Eng-NA,21,332,23438,23438,42403
1623,17152983,the blue lizard,,də b͡vu j͡ʒɪɹd,ðə bluː lɪzəɹd,declarative,eng,-2147483648,3,19,Inkelas,,CHI,E,Target_Child,E,26.197663196369536,male,,,,Eng-NA,21,332,23438,23438,42400
1624,17152984,Mother you came home,,mʌɾɚ ju tʰeim hoʊm,mʌðəɹ juː keɪm hoʊm,imperative_emphatic,eng,-2147483648,4,12,Inkelas,,CHI,E,Target_Child,E,27.000554426168915,male,,,,Eng-NA,21,332,23438,23438,42409
1625,17152985,I ran to you,,ɑɪ ɹæn tu ju,aɪ ɹæn tuː juː,declarative,eng,-2147483648,4,5,Inkelas,,CHI,E,Target_Child,E,27.29624838292367,male,,,,Eng-NA,21,332,23438,23438,42413
1626,17152986,I don't know,,ɑɪ do noʊ,aɪ doʊnt noʊ,declarative,eng,-2147483648,3,7,Inkelas,,CHI,E,Target_Child,E,27.526232571510707,male,,,,Eng-NA,21,332,23438,23438,42414
1627,17152988,it's the Daddy,,ɨs də dædi,ɪts ðə dædiː,imperative_emphatic,eng,-2147483648,3,16,Inkelas,,CHI,E,Target_Child,E,26.263372964537258,male,,,,Eng-NA,21,332,23438,23438,42402
1628,17152989,she's on her head bed,,ʃis ɑn hə˞ hɛd bɛd,ʃiːz ɑn həɹ hɛd bɛd,imperative_emphatic,eng,-2147483648,5,15,Inkelas,,CHI,E,Target_Child,E,26.033388775950225,male,,,,Eng-NA,21,332,23438,23438,42401
